# Time [s]	TemperatureKesten [K]	TemperatureKestenExp [K]
0	788.8	788.8
0.125	944.444444444444	888.888888888889
0.25	1020	944.444444444444
0.375	1055	1000
0.5	1085	1027.77777777778
0.625	1115	1055.55555555556
0.75	1145	1085
0.875	1155	1095
1	1160	1105
1.125	1165	1115
1.25	1171	1120
1.375	1172	1130
1.5	1172.22222222222	1140
1.625	1172.22222222222	1152.77777777778
1.75	1172.22222222222	1161.11111111111
1.875	1172.22222222222	1166.66666666667
2	1172.22222222222	1166.66666666667
2.125	1172.22222222222	1172.77777777778
2.25	1172.22222222222	1172.77777777778
2.375	1172.22222222222	1172.77777777778
2.5	1172.22222222222	1172.77777777778
2.625	1172.22222222222	1172.77777777778
2.75	1177.77777777778	1178.33333333333
2.875	1177.77777777778	1178.33333333333
3	1180.55555555556	1181.11111111111
